model_name,r2,r2_std,rmse,rmse_std,mse,mse_std,mae,mae_std,spearman,spearman_std,median_ae,median_ae_std
random_forest,0.734153013673838,0.041578812625424955,0.46652035452599305,0.004762974173031093,0.21766392711003124,0.004444048799601211,0.3572149552554821,0.0077970541585775655,0.5816880597659971,0.09886058219405672,0.2903334442578861,0.06597217307221148
xgboost,0.7538912577337944,0.031345944935672054,0.44992978735375794,0.011257980595197281,0.20256355567527967,0.010130601630459701,0.3084735686914648,0.019685612126200125,0.7164742804004196,0.1419355206342695,0.1943998361529869,0.03693790786477297
hybrid_ensemble,0.6329756233987416,0.0403221514906793,0.5501733608688353,0.018645908483890528,0.30303839691289924,0.0205169642740696,0.41977383522825057,0.02067354664023069,0.6629400729329633,0.07367192542047052,0.3081512911834024,0.03701270288242059
linear_probe,-0.2057963642140962,0.12897423374316663,0.9974249961181897,0.03526564259155618,0.996100288428766,0.07034966684997673,0.8027048639383381,0.018943836854692087,0.18066194488464254,0.021241832430791863,0.7396830878809701,0.022510994273836793
