model_name,r2,r2_std,rmse,rmse_std,mse,mse_std,mae,mae_std,spearman,spearman_std,median_ae,median_ae_std
random_forest,0.7353052280043533,0.05657161652268572,0.5495727390710499,0.009622942332494222,0.3021227965491907,0.010577013551183206,0.41766700682394964,0.006073386430064248,0.837128553976721,0.07329193511103638,0.319473750697173,0.005892044063592561
xgboost,0.7851480855156434,0.09140708257393121,0.4809108974041865,0.06506766555281923,0.23550909234259354,0.0625834988660035,0.33705054081672703,0.026002516188836533,0.856787649718336,0.07039590477539737,0.2604230839436221,0.01200678759685525
hybrid_ensemble,0.6310719851648325,0.014560147579191662,0.6601194938301128,0.0728217525950452,0.44106075378553833,0.09614211692572591,0.5289303035750923,0.050728422983799676,0.826883785364847,0.048593144009924476,0.4561800061438671,0.04019152989921759
linear_probe,0.18131092448401376,0.06381686917071028,0.9775661364740115,0.050757690385924925,0.958211894314039,0.09923799857382537,0.7842706254686531,0.07137770870633481,0.26544107873147565,0.03528606092611404,0.6779204831824965,0.08746568814802907
