model_name,r2,r2_std,rmse,rmse_std,mse,mse_std,mae,mae_std,spearman,spearman_std,median_ae,median_ae_std
random_forest,0.7560023112760206,0.029138061155682404,0.498734614955081,0.05364777524092493,0.25161429994269363,0.05351200505595881,0.39778391358588616,0.03836423462892902,0.8743253547891379,0.029139856004483766,0.3230717506689247,0.034723822988917824
xgboost,0.8227112991280867,0.006298186600349365,0.4249625947373974,0.02790514096221458,0.1813719038180625,0.023717282219631083,0.33677341664010874,0.006018678116627929,0.9032214501859286,0.030142659941834904,0.3050488325776495,0.021473708687707205
hybrid_ensemble,0.6219437794419127,0.02194401653219652,0.6190112929025664,0.011719421174679778,0.3833123255735764,0.014508908106816487,0.46142712152514176,0.015010741481958773,0.885644426050747,0.05719724808721133,0.33151924155119955,0.07408780920657049
linear_probe,0.02875491426423693,0.0373935455087695,0.9928680032192432,0.028516986078125084,0.9866000903115472,0.05662720605043792,0.762070958362641,0.018994001454518072,0.25476896064750465,0.01087417294455785,0.6043311624199658,0.05443971644732448
